Term,Definition,Category,Source,Difficulty
publish,"The act of sending a message or event to a central broker so that interested parties can receive it.",Data Platform Development,Data Platform Development Course,beginner
subscribe,"The act of registering an interest in a topic to receive any messages published to it.",Data Platform Development,Data Platform Development Course,beginner
sink,"The final destination or database where a streaming data pipeline deposits its processed data.",Data Platform Development,Data Platform Development Course,beginner
publish-subscribe model,"A messaging pattern where senders categorize messages into topics without knowing who the receivers are, and receivers consume only the topics of interest.",Data Platform Development,Data Platform Development Course,beginner
source system,"The original origin point or application from which raw data is extracted to enter a data pipeline.",Data Platform Development,Data Platform Development Course,beginner
partition,"A division of a Kafka topic that allows data to be split across multiple brokers to increase parallel processing and scalability.",Data Platform Development,Data Platform Development Course,beginner
serialization,"The process of converting complex data objects into a byte stream format suitable for transmission over a network.",Data Platform Development,Data Platform Development Course,beginner
deserialization,"The process of converting a transmitted byte stream back into readable data objects for an application to use.",Data Platform Development,Data Platform Development Course,beginner
pull model,"A communication design where the consumer actively requests or fetches data from the broker when it is ready.",Data Platform Development,Data Platform Development Course,beginner
push model,"A communication design where the central broker actively pushes data to the consumer as soon as it arrives.",Data Platform Development,Data Platform Development Course,beginner
client,"An application, like a producer or consumer, that connects to and interacts with a server or Kafka broker.",Data Platform Development,Data Platform Development Course,beginner
advertise,"A configuration where a Kafka broker broadcasts its reachable IP address and port to clients so they know how to connect.",Data Platform Development,Data Platform Development Course,beginner
ports mapping,"The process in Docker of linking a port on the host machine to a specific port inside the container, allowing external traffic to enter.",Data Platform Development,Data Platform Development Course,beginner
detached mode,"Running a process or container in the background so it doesn't occupy or block the current terminal window.",Data Platform Development,Data Platform Development Course,beginner
docker exec -it,"A command combination used to execute a command inside a running container with an interactive terminal.",Data Platform Development,Data Platform Development Course,beginner
histogram,"A type of graph representing the distribution of numerical data by grouping values into continuous ranges, or bins.",Data Visualisation BI,Data Visualisation BI Course,beginner
data cleaning,"The process of identifying, correcting, or removing inaccurate, incomplete, or duplicate records from a dataset to improve quality.",Data Visualisation BI,Data Visualisation BI Course,beginner
data transformation,"The process of converting data from one format, structure, or value state into another, often to prepare it for analysis.",Data Visualisation BI,Data Visualisation BI Course,beginner
casting,"The process of changing a data column from one data type to another, such as converting text to an integer.",Data Visualisation BI,Data Visualisation BI Course,beginner
bar chart,"A graphical representation of categorical data using rectangular bars whose lengths are proportional to the values they represent.",Data Visualisation BI,Data Visualisation BI Course,beginner
semantic model,"A logical, business-friendly representation of data that standardizes metrics and definitions so end-users can easily analyze it.",Data Visualisation BI,Data Visualisation BI Course,beginner
power bi,"A business analytics service by Microsoft that provides interactive visualizations and business intelligence capabilities.",Data Visualisation BI,Data Visualisation BI Course,beginner
data visualization,"The graphical representation of information and data to highlight patterns, trends, and outliers.",Data Visualisation BI,Data Visualisation BI Course,beginner
DAX,"Data Analysis Expressions; a formula language used in Power BI to perform custom calculations and aggregations.",Data Visualisation BI,Data Visualisation BI Course,beginner
power query,"A data preparation and connection technology in Power BI used to extract, transform, and load data seamlessly.",Data Visualisation BI,Data Visualisation BI Course,beginner
workspace,"A collaborative environment in Power BI where teams can create, manage, and share dashboards and reports.",Data Visualisation BI,Data Visualisation BI Course,beginner
padding,"The visual empty space added around the inside borders of an element or chart to improve readability and design.",Data Visualisation BI,Data Visualisation BI Course,beginner
visuals,"The various charts, graphs, maps, and UI elements used to represent data in a report.",Data Visualisation BI,Data Visualisation BI Course,beginner
tooltip,"A small pop-up box that appears when a user hovers over a data point, providing additional context or detailed metrics.",Data Visualisation BI,Data Visualisation BI Course,beginner
conditional formating,"A feature that automatically changes the color or styling of data visuals based on specific rules or data values.",Data Visualisation BI,Data Visualisation BI Course,beginner
button,"An interactive element on a dashboard that users can click to trigger an action, like navigating pages or clearing filters.",Data Visualisation BI,Data Visualisation BI Course,beginner
bookmark,"A saved state of a report page in Power BI, capturing current filters and visual visibility to allow users to quickly return to a specific view.",Data Visualisation BI,Data Visualisation BI Course,beginner
selection pane,"A menu in BI tools that allows developers to manage the stacking order, grouping, and visibility of individual visual elements.",Data Visualisation BI,Data Visualisation BI Course,beginner
artist,"The underlying rendering engine concept in matplotlib that handles drawing the actual shapes and text on the canvas.",Data Visualisation BI,Data Visualisation BI Course,beginner
containers,"High-level objects in visualization libraries that group multiple graphical elements together, like a Figure or Axes.",Data Visualisation BI,Data Visualisation BI Course,beginner
spine,"The actual boundary lines mapping the data area in a matplotlib chart, representing the borders of an axis.",Data Visualisation BI,Data Visualisation BI Course,beginner
axes,"The data-plotting area of a chart containing the x/y limits, labels, and ticks, where the actual graphical data is drawn.",Data Visualisation BI,Data Visualisation BI Course,beginner
figure,"The highest-level container or window in matplotlib that holds all the subplots, axes, and graphical elements.",Data Visualisation BI,Data Visualisation BI Course,beginner
subplot,"An individual grid area within a main Figure that houses its own distinct chart or graph.",Data Visualisation BI,Data Visualisation BI Course,beginner
patch,"A 2D shape or polygon drawn on a chart, such as the rectangular bars in a bar chart.",Data Visualisation BI,Data Visualisation BI Course,beginner
annotation,"Text and graphics explicitly added to a chart to highlight, explain, or draw attention to a specific data point.",Data Visualisation BI,Data Visualisation BI Course,beginner
arrowprops,"A configuration parameter used in plotting libraries to format the arrow pointing from an annotation to a specific data point.",Data Visualisation BI,Data Visualisation BI Course,beginner
marker,"A symbol used on a line chart or scatter plot to represent the exact position of an individual data point.",Data Visualisation BI,Data Visualisation BI Course,beginner
ticks,"The short marks placed along an axis to denote specific intervals or units of measurement.",Data Visualisation BI,Data Visualisation BI Course,beginner
ticklabels,"The actual text or numbers placed next to axis ticks to show the value at that interval.",Data Visualisation BI,Data Visualisation BI Course,beginner
layout,"The arrangement and positioning of visual elements, charts, and text within a dashboard to optimize user experience.",Data Visualisation BI,Data Visualisation BI Course,beginner
grid,"A pattern of intersecting horizontal and vertical lines in the background of a chart, used to help viewers align data points with axes.",Data Visualisation BI,Data Visualisation BI Course,beginner
legend,"A small reference box on a chart that explains the meaning of different colors, symbols, or lines used in the visualization.",Data Visualisation BI,Data Visualisation BI Course,beginner
exploratory data analysis,"The initial phase of investigating a dataset using visual techniques to discover patterns, anomalies, and hypotheses before formal modeling.",Data Visualisation BI,Data Visualisation BI Course,beginner
explanatory data analysis,"The phase of analysis focused on clearly communicating specific findings, insights, and stories to an audience.",Data Visualisation BI,Data Visualisation BI Course,beginner
clutter,"Unnecessary visual elements in a chart, like excessive gridlines or borders, that distract from the underlying data.",Data Visualisation BI,Data Visualisation BI Course,beginner
proximity principle,"A design principle stating that items placed close together are visually perceived as belonging to the same group.",Data Visualisation BI,Data Visualisation BI Course,beginner
attention,"The cognitive focus of the audience, which designers aim to capture and direct using visual hierarchy and contrast.",Data Visualisation BI,Data Visualisation BI Course,beginner
contrast,"Using differences in color, size, or shape to make specific data points or insights stand out dramatically from the rest.",Data Visualisation BI,Data Visualisation BI Course,beginner
colors sparingly,"The design best practice of using a neutral palette predominantly, reserving bright colors only to highlight key data points.",Data Visualisation BI,Data Visualisation BI Course,beginner
data storytelling,"The practice of building a compelling narrative around data insights to drive understanding and inspire action.",Data Visualisation BI,Data Visualisation BI Course,beginner
axis,"The reference lines (usually X and Y) on a chart that define the scale and dimensions of the data being plotted.",Data Visualisation BI,Data Visualisation BI Course,beginner
insight,"A valuable, actionable discovery made through the analysis of data that can guide business decisions.",Data Visualisation BI,Data Visualisation BI Course,beginner
context,"The background information surrounding data (like historical averages or industry benchmarks) needed to understand its true significance.",Data Visualisation BI,Data Visualisation BI Course,beginner
call to action,"A clear instruction or recommendation presented at the end of a data story to guide the audience on what to do next.",Data Visualisation BI,Data Visualisation BI Course,beginner
KPI,"Key Performance Indicator; a quantifiable measure used to evaluate the success of an organization or project in meeting its goals.",Data Visualisation BI,Data Visualisation BI Course,beginner
story arc,"The narrative structure of a data presentation, including setting the context, presenting the complication, and offering a resolution.",Data Visualisation BI,Data Visualisation BI Course,beginner
data literacy,"The ability to confidently read, work with, analyze, and argue with data in a meaningful way.",Data Visualisation BI,Data Visualisation BI Course,beginner
dashboard fatigue,"The cognitive overload and loss of interest experienced by users when they are presented with too many complex dashboards.",Data Visualisation BI,Data Visualisation BI Course,beginner
choropleth,"A type of map visualization where geographic regions are colored or shaded in relation to a specific data metric.",Data Visualisation BI,Data Visualisation BI Course,beginner
fig.update_layout,"A Plotly method used to modify the overall appearance of a chart, such as its title, margins, and themes.",Data Visualisation BI,Data Visualisation BI Course,beginner
radar chart,"A graphical method of displaying multivariate data in the form of a two-dimensional chart starting from a central point.",Data Visualisation BI,Data Visualisation BI Course,beginner
spider chart,"Another name for a radar chart, named for its web-like visual appearance.",Data Visualisation BI,Data Visualisation BI Course,beginner
mapbox,"A mapping platform integrated with visualization tools to provide high-quality geographic basemaps for data overlays.",Data Visualisation BI,Data Visualisation BI Course,beginner
geojson,"A standard format for encoding a variety of geographic data structures, heavily used to draw borders in map visualizations.",Data Visualisation BI,Data Visualisation BI Course,beginner
bubble chart,"A variation of a scatter plot where a third dimension of data is shown through the varying size of the data point circles.",Data Visualisation BI,Data Visualisation BI Course,beginner
pie chart,"A circular statistical graphic divided into slices to illustrate numerical proportions, where the arc length corresponds to the quantity.",Data Visualisation BI,Data Visualisation BI Course,beginner
hovertemplate,"A configuration string used in Plotly to strictly define the text and formatting shown when a user hovers over a data point.",Data Visualisation BI,Data Visualisation BI Course,beginner
trace,"A single collection of data points (like one line or one set of bars) added to a Plotly figure.",Data Visualisation BI,Data Visualisation BI Course,beginner
on_action,"An event listener that triggers a specific function when a user performs a physical interaction, like clicking a button.",Data Visualisation BI,Data Visualisation BI Course,beginner
on_change,"An event listener that triggers an update in an application when the value of an input widget or variable is altered.",Data Visualisation BI,Data Visualisation BI Course,beginner
state,"The current memory or condition of an application, holding the active values of user inputs and variables across interactions.",Data Visualisation BI,Data Visualisation BI Course,beginner
downstream,"Systems, processes, or teams that receive and consume data after it has been processed by an earlier system.",Data Warehouse,Data Warehouse Course,beginner
upstream,"Systems, applications, or sources where raw data originates before it flows into the data warehouse.",Data Warehouse,Data Warehouse Course,beginner
data warehouse,"A central repository designed to store, integrate, and analyze large volumes of structured data from multiple sources for business intelligence.",Data Warehouse,Data Warehouse Course,beginner
cloud computing,"The delivery of computing services over the internet, offering scalable resources without managing physical hardware.",Data Warehouse,Data Warehouse Course,beginner
OLAP,"Online Analytical Processing; database systems optimized for complex queries, analytics, and reading large amounts of historical data.",Data Warehouse,Data Warehouse Course,beginner
OLTP,"Online Transaction Processing; database systems optimized for fast, reliable, real-time inserts, updates, and daily operational transactions.",Data Warehouse,Data Warehouse Course,beginner
virtual warehouse,"In Snowflake, a cluster of compute resources that processes queries independently of the data storage.",Data Warehouse,Data Warehouse Course,beginner
external stage,"A location outside of Snowflake (like an Amazon S3 bucket) where raw data files are stored securely before being loaded into tables.",Data Warehouse,Data Warehouse Course,beginner
data consumer,"The end-users, analysts, or automated dashboards that access and utilize the finalized data from the warehouse.",Data Warehouse,Data Warehouse Course,beginner
scaling out,"Adding more compute nodes or servers to a system in order to handle a higher concurrency or volume of simultaneous users.",Data Warehouse,Data Warehouse Course,beginner
scaling up,"Increasing the power (CPU, memory) of an existing node or virtual warehouse to handle more complex or larger datasets faster.",Data Warehouse,Data Warehouse Course,beginner
snowflake credit,"The unit of measurement used by Snowflake to bill for compute resources consumed during query execution and data processing.",Data Warehouse,Data Warehouse Course,beginner
securable object,"Any entity in Snowflake (like a table, view, or schema) to which specific access privileges can be granted or denied.",Data Warehouse,Data Warehouse Course,beginner
schema,"A logical grouping of related database objects, acting as a folder within a database to organize tables and views.",Data Warehouse,Data Warehouse Course,beginner
permanent table,"The standard table type in databases that safely stores data indefinitely until intentionally dropped, typically offering full backup protection.",Data Warehouse,Data Warehouse Course,beginner
transient table,"A temporary-style table in Snowflake that exists until explicitly dropped, but does not incur the high storage costs of long-term backup features like Fail-safe.",Data Warehouse,Data Warehouse Course,beginner
temporary table,"A table that only exists for the duration of the current user session and is automatically purged when the session ends.",Data Warehouse,Data Warehouse Course,beginner
time-travel,"A Snowflake feature allowing users to query, restore, or clone historical data as it existed at a specific point in the recent past.",Data Warehouse,Data Warehouse Course,beginner
fail-safe,"A disaster recovery feature providing a non-configurable period where data can be recovered by support even after Time Travel expires.",Data Warehouse,Data Warehouse Course,beginner
view,"A saved, named SQL query that acts as a virtual table, allowing users to read customized data without physically storing a duplicate copy.",Data Warehouse,Data Warehouse Course,beginner
table,"The primary database object used to store data structurally in rows and columns.",Data Warehouse,Data Warehouse Course,beginner
DML,"Data Manipulation Language; commands used to insert, update, or delete records inside a table.",Data Warehouse,Data Warehouse Course,beginner
DDL,"Data Definition Language; commands used to create, alter, or destroy the structure of database objects.",Data Warehouse,Data Warehouse Course,beginner
DQL,"Data Query Language; the subset of SQL specifically used to search and read data using SELECT.",Data Warehouse,Data Warehouse Course,beginner
DCL,"Data Control Language; SQL commands used to manage access, security, and permissions within the database.",Data Warehouse,Data Warehouse Course,beginner
SYSADMIN,"A powerful role in Snowflake designated to create, manage, and provision all database and warehouse objects.",Data Warehouse,Data Warehouse Course,beginner
USERADMIN,"A role responsible strictly for creating and managing user accounts and roles within the system.",Data Warehouse,Data Warehouse Course,beginner
ORGADMIN,"The highest organizational role responsible for managing multiple Snowflake accounts at the corporate level.",Data Warehouse,Data Warehouse Course,beginner
SECURITYADMIN,"A highly privileged role that manages global security settings, grants, and revokes access policies.",Data Warehouse,Data Warehouse Course,beginner
ACCOUNTADMIN,"The top-level administrator role in a Snowflake account that encapsulates SYSADMIN and SECURITYADMIN capabilities.",Data Warehouse,Data Warehouse Course,beginner
role inheritance,"A security architecture concept where a higher-level role automatically gains all the permissions of the roles subordinate to it.",Data Warehouse,Data Warehouse Course,beginner
PUBLIC role,"A default role automatically granted to every user in the system, typically holding basic access rights.",Data Warehouse,Data Warehouse Course,beginner
public schema,"A default schema automatically created inside every new database where objects are placed if no other schema is specified.",Data Warehouse,Data Warehouse Course,beginner
API,"Application Programming Interface; a set of protocols allowing different software applications to communicate and transfer data automatically.",Data Warehouse,Data Warehouse Course,beginner
ETL,"Extract, Transform, Load; a traditional data pipeline method where data is cleaned and altered before being loaded into the data warehouse.",Data Warehouse,Data Warehouse Course,beginner
ELT,"Extract, Load, Transform; a modern data pipeline method where raw data is loaded into the warehouse first, then transformed using the database's power.",Data Warehouse,Data Warehouse Course,beginner
data ingestion,"The process of moving raw data from various source systems into a storage medium like a data lake or data warehouse.",Data Warehouse,Data Warehouse Course,beginner
batch ingestion,"Loading data in large, scheduled, discrete chunks at regular intervals rather than continuously.",Data Warehouse,Data Warehouse Course,beginner
streaming ingestion,"The continuous, real-time loading of data into a system exactly as the events occur.",Data Warehouse,Data Warehouse Course,beginner
incremental load,"A process that only ingests new or updated records since the last successful load, rather than reloading the entire dataset.",Data Warehouse,Data Warehouse Course,beginner
dlt connectors,"Pre-built modules in the Data Load Tool (dlt) that easily connect to various APIs and databases to extract data.",Data Warehouse,Data Warehouse Course,beginner
snowflake user,"An individual account or service credential used to log into and authenticate with the Snowflake environment.",Data Warehouse,Data Warehouse Course,beginner
staging layer,"An intermediary storage area used to land raw, unprocessed data before it undergoes transformation and integration.",Data Warehouse,Data Warehouse Course,beginner
granted to,"The SQL syntax defining which specific role or user is receiving a permission.",Data Warehouse,Data Warehouse Course,beginner
granted on,"The SQL syntax defining which specific object (like a table or schema) the permission applies to.",Data Warehouse,Data Warehouse Course,beginner
granted by,"Indicates the user or role that issued the permission, establishing an audit trail for access control.",Data Warehouse,Data Warehouse Course,beginner
secrets.toml,"A configuration file commonly used in Python to securely store sensitive environment variables, passwords, and API keys.",Data Warehouse,Data Warehouse Course,beginner
RBAC,"Role-Based Access Control; a security model where permissions are assigned to roles rather than directly to individual users.",Data Warehouse,Data Warehouse Course,beginner
CRUD operations,"The four basic functions essential for persistent storage: Create, Read, Update, and Delete.",Data Warehouse,Data Warehouse Course,beginner
resource dlt,"In the dlt framework, an endpoint or specific collection of data that yields records to be ingested.",Data Warehouse,Data Warehouse Course,beginner
source dlt,"In the dlt framework, a logical grouping of one or more resources that define where the data originates.",Data Warehouse,Data Warehouse Course,beginner
yield python,"A keyword used in Python generators to produce a sequence of values lazily, highly useful for streaming large datasets efficiently.",Data Warehouse,Data Warehouse Course,beginner
granularity,"The level of detail or the exact scale that a single row of data represents in a table.",Data Warehouse,Data Warehouse Course,beginner
fact,"A numerical, measurable metric of a business event, typically stored in a fact table at the center of a star schema.",Data Warehouse,Data Warehouse Course,beginner
dimensions,"The descriptive, textual context (like time, location, or product) used to slice, filter, and categorize fact data.",Data Warehouse,Data Warehouse Course,beginner
star schema,"A dimensional modeling technique where a central fact table is surrounded by connected dimension tables, resembling a star.",Data Warehouse,Data Warehouse Course,beginner
business process,"The real-world activity or workflow being measured and modeled in the data warehouse, such as sales or inventory.",Data Warehouse,Data Warehouse Course,beginner
data mart,"A specialized, subject-oriented subset of the data warehouse designed to serve the specific analytical needs of a single business department.",Data Warehouse,Data Warehouse Course,beginner
snowflake schema,"A variation of the star schema where the dimension tables themselves are normalized into multiple related tables.",Data Warehouse,Data Warehouse Course,beginner
3NF,"Third Normal Form; a database design rule ensuring data is highly organized to reduce duplication by isolating independent attributes.",Data Warehouse,Data Warehouse Course,beginner
denomarlized tables,"Tables where related data is intentionally combined and duplicated to prioritize fast reading over strict storage efficiency.",Data Warehouse,Data Warehouse Course,beginner
ER diagram,"Entity-Relationship Diagram; a visual blueprint showing the tables in a database and how they relate to one another.",Data Warehouse,Data Warehouse Course,beginner
foreign key,"A column in one table that links to the primary key of another table, enforcing referential integrity between them.",Data Warehouse,Data Warehouse Course,beginner
primary key,"A column or set of columns that uniquely identifies each individual row within a table.",Data Warehouse,Data Warehouse Course,beginner
surrogate key,"An artificially generated, unique identifier assigned to a row in a data warehouse, decoupling it from the original source system keys.",Data Warehouse,Data Warehouse Course,beginner
natural key,"The original, real-world identifier for a piece of data (like a social security number) originating from the operational source system.",Data Warehouse,Data Warehouse Course,beginner
RDBMS,"Relational Database Management System; software that maintains data in structured tables, enforces relationships, and uses SQL for queries.",Data Modeling,Data Modeling Course,beginner
relational model,"A fundamental database theory where data is structured into tables (relations) of columns and rows, connected by mathematical keys.",Data Modeling,Data Modeling Course,beginner
conceptual model,"A high-level diagram outlining the core business entities and their relationships without any technical database details.",Data Modeling,Data Modeling Course,beginner
logical model,"A structured blueprint that maps out tables, columns, and keys, abstracting away the specific database vendor syntax.",Data Modeling,Data Modeling Course,beginner
physical model,"The final, highly technical schema optimized for a specific database engine, detailing precise data types and indexing.",Data Modeling,Data Modeling Course,beginner
ERD,"Entity-Relationship Diagram; a standard visual modeling tool used to plan the structure and connections of database tables.",Data Modeling,Data Modeling Course,beginner
data modeling,"The process of designing the structure, relationships, and rules of a database to accurately reflect business requirements.",Data Modeling,Data Modeling Course,beginner
data integrity,"The assurance that data remains accurate, complete, and reliable throughout its lifecycle by enforcing strict rules.",Data Modeling,Data Modeling Course,beginner
data consistency,"The principle ensuring that a transaction leaves the database in a valid state, preventing conflicting information across tables.",Data Modeling,Data Modeling Course,beginner
field,"The smallest unit of data in a table, representing a single column's intersection with a row.",Data Modeling,Data Modeling Course,beginner
attribute,"A specific characteristic or property of an entity, which becomes a column in a database table.",Data Modeling,Data Modeling Course,beginner
data type,"The classification dictating what kind of data (integer, text, date) is allowed to be stored in a specific column.",Data Modeling,Data Modeling Course,beginner
data redundancy,"The unnecessary duplication of the exact same data in multiple places within a database, which normalization seeks to remove.",Data Modeling,Data Modeling Course,beginner
transaction,"A logical unit of work consisting of one or more SQL statements that must succeed or fail together entirely.",Data Modeling,Data Modeling Course,beginner
cardinality,"The numerical relationship specifying how many instances of one entity can or must relate to instances of another entity.",Data Modeling,Data Modeling Course,beginner
one-to-one,"A relationship where a single record in Table A is exclusively linked to one and only one record in Table B.",Data Modeling,Data Modeling Course,beginner
one-to-many,"The most common relationship where a single record in Table A can be linked to multiple records in Table B.",Data Modeling,Data Modeling Course,beginner
composite entity,"An associative entity created to resolve a many-to-many relationship, typically housing foreign keys from both related tables.",Data Modeling,Data Modeling Course,beginner
constraint,"A strict rule enforced by the database engine (like UNIQUE or NOT NULL) to ensure data validity and integrity.",Data Modeling,Data Modeling Course,beginner
primary key,"A field that serves as the definitive, unique identifier for every single record in a table.",Data Modeling,Data Modeling Course,beginner
foreign key,"A field used to establish a definitive link between two tables, ensuring a record points to a valid primary key elsewhere.",Data Modeling,Data Modeling Course,beginner
bridge table,"Another name for a composite or associative table used specifically to connect two tables in a many-to-many relationship.",Data Modeling,Data Modeling Course,beginner
attributes,"The descriptive traits that define an entity, translated into columns during physical database design.",Data Modeling,Data Modeling Course,beginner
referential integrity,"A database guarantee that relationships between tables remain unbroken and valid, preventing orphaned records.",Data Modeling,Data Modeling Course,beginner
child entity,"A table that contains a foreign key pointing to the primary key of another related table.",Data Modeling,Data Modeling Course,beginner
parent entity,"The core table containing the primary key that another related table (the child) points to.",Data Modeling,Data Modeling Course,beginner
natural key,"A unique identifier formed by real-world attributes of the data, such as an email address or an invoice number.",Data Modeling,Data Modeling Course,beginner
surrogate key,"An artificial, system-generated integer used exclusively as a primary key to provide a stable, meaningless identifier.",Data Modeling,Data Modeling Course,beginner
candidate key,"Any column or set of columns in a table that uniquely identifies a row and is eligible to be chosen as the primary key.",Data Modeling,Data Modeling Course,beginner
alternate key,"A candidate key that was not selected to be the primary key, but is still maintained as unique within the database.",Data Modeling,Data Modeling Course,beginner
normalization,"The systematic process of organizing data into multiple tables to eliminate redundancy and prevent data anomalies.",Data Modeling,Data Modeling Course,beginner
insertion anomaly,"A structural flaw where you cannot add a new piece of data to the database without also needing to add unrelated data.",Data Modeling,Data Modeling Course,beginner
update anomaly,"A flaw caused by redundancy where changing a piece of data requires updating multiple identical records, risking inconsistency.",Data Modeling,Data Modeling Course,beginner
deletion anomaly,"A flaw where deleting a specific record unintentionally causes the complete loss of other valuable, unrelated data.",Data Modeling,Data Modeling Course,beginner
normal forms,"A series of ascending structural rules (1NF, 2NF, 3NF) applied to a database to progressively reduce data redundancy.",Data Modeling,Data Modeling Course,beginner
boyce-codd normal form,"A stricter extension of the Third Normal Form (3NF) ensuring that every determinant in a table is a candidate key.",Data Modeling,Data Modeling Course,beginner
transitive dependency,"An indirect relationship where a non-key column is dependent on another non-key column, a flaw fixed in Third Normal Form.",Data Modeling,Data Modeling Course,beginner
functional dependency,"A relationship where the value of one attribute strictly determines the value of another attribute within the same table.",Data Modeling,Data Modeling Course,beginner
ternary relationship,"A complex relationship involving three different entities interacting simultaneously.",Data Modeling,Data Modeling Course,beginner
composite primary key,"A primary key formed by combining two or more columns together to create a unique identifier for a row.",Data Modeling,Data Modeling Course,beginner
relational schema notation,"A shorthand text-based way to write out table structures, underlining primary keys to represent the logical design.",Data Modeling,Data Modeling Course,beginner
entity constriants,"Business or structural rules applied directly to an entity to limit the kind of data it can hold.",Data Modeling,Data Modeling Course,beginner
dataframe,"A two-dimensional, tabular data structure used in pandas for data manipulation and analysis.",AI Engineering,AI Engineering Course,beginner
series,"A single, one-dimensional column of data in pandas.",AI Engineering,AI Engineering Course,beginner
pandas concat,"A function used to combine multiple pandas DataFrames together.",AI Engineering,AI Engineering Course,beginner
pandas apply,"A method to execute a specific function across rows or columns in a pandas DataFrame.",AI Engineering,AI Engineering Course,beginner
csv,"A plain text file format widely used to store tabular data.",AI Engineering,AI Engineering Course,beginner
pandas isnull,"A method that creates a boolean mask identifying missing or empty values in a dataset.",AI Engineering,AI Engineering Course,beginner
masking in pandas,"The technique of filtering DataFrame rows using an array of boolean values.",AI Engineering,AI Engineering Course,beginner
pandas transpose,"An operation that pivots a DataFrame, turning its rows into columns and vice versa.",AI Engineering,AI Engineering Course,beginner
pandas value_counts(),"A function that counts how many times each unique value appears in a pandas Series.",AI Engineering,AI Engineering Course,beginner
json,"A lightweight data format using key-value pairs, heavily used in APIs and web configurations.",AI Engineering,AI Engineering Course,beginner
tabular data,"Data structured strictly into rows and columns, like a typical spreadsheet or database table.",AI Engineering,AI Engineering Course,beginner
zero-based indexing,"The standard programming convention where lists or arrays start counting at zero instead of one.",AI Engineering,AI Engineering Course,beginner
join,"An operation that merges columns from two datasets based on a common matching column.",AI Engineering,AI Engineering Course,beginner
left join,"A join that retains all rows from the primary dataset and only matching rows from the secondary dataset.",AI Engineering,AI Engineering Course,beginner
inner join,"A join that retains only the overlapping rows that exist in both datasets.",AI Engineering,AI Engineering Course,beginner
group by,"An operation that splits data into categories to calculate summary statistics, like sums or averages.",AI Engineering,AI Engineering Course,beginner
supervised learning,"A machine learning approach where the model learns by mapping input data to known, provided output labels.",AI Engineering,AI Engineering Course,beginner
machine learning,"The field of AI where algorithms automatically learn and improve from experience without being explicitly programmed.",AI Engineering,AI Engineering Course,beginner
data science,"The interdisciplinary field that extracts actionable knowledge from structured and unstructured data using scientific methods.",AI Engineering,AI Engineering Course,beginner
data engineering,"The discipline of building and maintaining systems that extract, clean, and store massive amounts of data.",AI Engineering,AI Engineering Course,beginner
algorithm,"A set of step-by-step mathematical instructions applied to data to solve a problem or make a prediction.",AI Engineering,AI Engineering Course,beginner
regression,"A type of predictive modeling used to estimate a continuous numerical value, like predicting house prices.",AI Engineering,AI Engineering Course,beginner
classification,"A type of predictive modeling used to assign data points into specific, discrete categories or classes.",AI Engineering,AI Engineering Course,beginner
qualitative data,"Categorical or descriptive data that cannot be measured numerically, like text or colors.",AI Engineering,AI Engineering Course,beginner
quantitative data,"Numerical data representing measurements or counts that can be mathematically analyzed.",AI Engineering,AI Engineering Course,beginner
independent variable,"The input features or predictors used by an algorithm to make an estimate.",AI Engineering,AI Engineering Course,beginner
dependent variable,"The specific output or target variable that the machine learning model is trying to predict.",AI Engineering,AI Engineering Course,beginner
label,"The known outcome or correct answer attached to training data in supervised learning.",AI Engineering,AI Engineering Course,beginner
feature,"An individual, measurable property or characteristic of a phenomenon being observed, used as input for an ML model.",AI Engineering,AI Engineering Course,beginner
model,"The mathematical artifact or algorithm created after analyzing training data, capable of making future predictions.",AI Engineering,AI Engineering Course,beginner
training,"The computationally intensive process where an algorithm analyzes data to learn underlying patterns and adjust its parameters.",AI Engineering,AI Engineering Course,beginner
evaluation,"The process of testing a newly trained model using unseen data to measure its accuracy and reliability.",AI Engineering,AI Engineering Course,beginner
prediction,"The estimated output produced by a machine learning model when given new, unseen input data.",AI Engineering,AI Engineering Course,beginner
target,"Another term for the dependent variable or label; the specific metric a model aims to predict.",AI Engineering,AI Engineering Course,beginner
training set,"The main chunk of data fed into the algorithm so it can learn the relationships between inputs and outputs.",AI Engineering,AI Engineering Course,beginner
validation set,"A separate chunk of data used to iteratively tune an algorithm's hyperparameters without bleeding the final test data.",AI Engineering,AI Engineering Course,beginner
test set,"The final, completely untouched chunk of data used to objectively evaluate the fully trained model's performance.",AI Engineering,AI Engineering Course,beginner
recall,"A statistical metric measuring a model's ability to successfully identify all relevant or positive instances.",AI Engineering,AI Engineering Course,beginner
f1 score,"A balanced metric that combines precision and recall into a single score to evaluate a model's robustness.",AI Engineering,AI Engineering Course,beginner
regularization,"A technique used to penalize overly complex models during training to prevent them from memorizing noise (overfitting).",AI Engineering,AI Engineering Course,beginner
hyperparameter,"Configuration settings manually set by the engineer before training begins, guiding how the algorithm learns.",AI Engineering,AI Engineering Course,beginner
overfitting,"A failure mode where a model memorizes the training data too closely, performing poorly on new, unseen data.",AI Engineering,AI Engineering Course,beginner
underfitting,"A failure mode where a model is too simple to capture the underlying patterns in the data, performing poorly overall.",AI Engineering,AI Engineering Course,beginner
precision,"A statistical metric measuring how many of the model's positive predictions were actually correct.",AI Engineering,AI Engineering Course,beginner
few shot learning,"A technique providing an LLM with a couple of examples in the prompt to rapidly adapt it to a new task.",AI Engineering,AI Engineering Course,beginner
